,Tanggal,RH_avg,Tavg,RR,ss
515,29-04-2013,28,76,10.4,6.9
516,30-04-2013,28.3,80,10.8,7.3
517,01-05-2013,26.3,89,59,5.7
518,02-05-2013,27.3,79,8.6,6
519,03-05-2013,28.3,79,8.8,6
520,04-05-2013,27.1,85,34,6.2
521,05-05-2013,27.1,85,14.1,5.2
522,06-05-2013,27.1,87,9.1,5.3
523,07-05-2013,26.3,93,79.5,4.2
524,08-05-2013,27.1,86,9.4,4.7
525,09-05-2013,26.3,86,9.7,5.7
526,10-05-2013,26.8,84,11.9,4.3
527,11-05-2013,27,87,1,6
528,12-05-2013,27.3,84,0.5,2
529,13-05-2013,27.1,90,10,0.5
530,14-05-2013,25.3,92,0.5,3.5
531,15-05-2013,25.9,86,10.3,4.8
532,16-05-2013,27.8,80,10.6,7.7
533,17-05-2013,27.1,85,7.8,5.6
534,18-05-2013,27.6,82,11,1.4
535,19-05-2013,26.9,83,0.9,5.6
536,20-05-2013,26.9,85,11.3,5.4
537,21-05-2013,26.1,92,9,2.8
538,22-05-2013,24.8,92,13.6,1.1
539,23-05-2013,26.7,84,3.3,4
540,24-05-2013,27.1,80,11.7,7.6
541,25-05-2013,26.2,90,0.2,0.1
542,26-05-2013,26.8,84,11.7,2.1
543,27-05-2013,26,92,27.8,4.2
544,28-05-2013,26.1,88,12.1,2.4
545,29-05-2013,27.4,78,0.4,7.8
546,30-05-2013,26.5,86,0.4,6.4
547,31-05-2013,26.5,84,12.5,0.8
548,01-06-2013,26.7,84,5.5,5.6
549,02-06-2013,26.4,83,5.7,5.4
550,03-06-2013,26.1,86,10,0.1
551,04-06-2013,27.8,79,5.9,6.1
552,05-06-2013,27.1,81,6.1,5.5
553,06-06-2013,26.1,82,6.3,5
554,07-06-2013,26.9,80,6.5,4.7
555,08-06-2013,26.4,87,1.4,6.6
556,09-06-2013,27.6,80,6.7,8
557,10-06-2013,27.1,84,0.2,7.2
558,11-06-2013,26.4,89,11.7,3.3
559,12-06-2013,26.6,68,17.9,0.1
560,13-06-2013,24.9,90,18.6,0
561,14-06-2013,27.1,79,2,3.5
562,15-06-2013,25.9,96,0.2,5.1
563,16-06-2013,27.5,80,6.9,5.6
564,17-06-2013,24.8,96,3.6,5.2
565,18-06-2013,26.5,83,7.1,8
566,19-06-2013,27.1,78,7.4,5.5
567,20-06-2013,26.5,86,7.6,3.7
568,21-06-2013,26.8,81,7.9,7.2
569,22-06-2013,27.6,81,8.1,6.2
570,23-06-2013,27.1,84,8.4,5.6
571,24-06-2013,27,81,8.7,7.8
572,25-06-2013,27.6,79,9,8
573,26-06-2013,27.4,78,9.3,7.1
574,27-06-2013,26.5,80,9.6,7.3
575,28-06-2013,26,86,3.4,6
576,29-06-2013,26.2,86,9.9,5.8
577,30-06-2013,26.2,86,95.5,5.4
578,01-07-2013,26.7,82,9.3,5.9
579,02-07-2013,24.4,93,13.7,2
580,03-07-2013,25.2,90,9.6,3.8
581,04-07-2013,24.2,96,3.5,3.9
582,05-07-2013,24.7,93,2.5,4
583,06-07-2013,26,86,9.9,2.8
584,07-07-2013,26.5,77,10.2,7.5
585,08-07-2013,25.6,79,10.6,6.8
586,09-07-2013,25.4,88,46.3,5.5
587,10-07-2013,25.5,86,10.9,1
588,11-07-2013,28.3,88,103.4,7
589,12-07-2013,25.3,88,9.8,4.7
590,13-07-2013,24.9,92,7.2,1.8
591,14-07-2013,25.9,82,11.2,0.6
592,15-07-2013,26.5,85,6.6,2.6
593,16-07-2013,26.4,84,11.6,7.4
594,17-07-2013,25.9,86,0.1,4.3
595,18-07-2013,26.3,84,12,1.9
596,19-07-2013,27,84,12.4,7.8
597,20-07-2013,25.6,92,21.5,4.2
598,21-07-2013,25.7,85,0.6,3
599,22-07-2013,25.1,84,12.8,4.3
600,23-07-2013,26.3,80,13.2,8
601,24-07-2013,26.9,81,1.5,3.9
602,25-07-2013,26.5,79,4.5,6.3
603,26-07-2013,26.8,81,13.6,7.3
604,27-07-2013,26.7,82,14,4.8
605,28-07-2013,27,79,14.5,4.2
606,29-07-2013,26.1,88,4.5,3
607,30-07-2013,24.6,92,62.4,4.2
608,31-07-2013,26.1,80,15,3.3
609,01-08-2013,26.2,84,1.3,5.8
610,02-08-2013,27.2,76,4.2,7.2
611,03-08-2013,26.9,79,4.3,5.6
612,04-08-2013,26.8,78,4.5,7.1
613,05-08-2013,26.6,76,11,2.5
614,06-08-2013,27.3,79,4.6,5.8
615,07-08-2013,26.2,86,42.2,5.8
616,08-08-2013,25.5,86,6,8
617,09-08-2013,25.7,81,4.8,6.7
618,10-08-2013,26.7,76,4.9,8
619,11-08-2013,26.9,78,38,8
620,12-08-2013,26.9,80,5.1,7.4
621,13-08-2013,25.9,73,5.3,7.3
622,14-08-2013,25.1,74,5.4,7.3
623,15-08-2013,26.3,77,5.6,6.3
624,16-08-2013,26.6,80,5.8,8
625,17-08-2013,27.1,79,16.3,5.7
626,18-08-2013,26.7,81,6,7.8
627,19-08-2013,27,72,6.2,8
628,20-08-2013,25.9,79,6.4,5.7
629,21-08-2013,26.8,82,6.6,7.6
630,22-08-2013,27.1,75,6.8,8
631,23-08-2013,27.3,72,7,8
632,24-08-2013,27.1,70,7.2,8
